gene1,gene2,corr
expressionIL6ST,expressionRPIA,0.6015937202672226
expressionIL6ST,expressionFAM214A,0.7096281644499149
expressionIL6ST,expressionRGS22,0.6233357799285509
expressionIL6ST,expressionRABEP1,0.6988426174499534
expressionIL6ST,expressionFBXL5,0.632066525376368
expressionIL6ST,expressionFAM136A,0.6534827950496642
expressionIL6ST,expressionAFF3,0.6318165525293891
expressionIL6ST,expressionCPEB4,0.6195761824207605
expressionIL6ST,expressionNUP93,0.6295963150895434
expressionIL6ST,expressionC5AR2,0.6447370451464945
expressionIL6ST,expressionPSMB2,0.6113193314557728
expressionIL6ST,expressionPGGT1B,0.6585950167211994
expressionIL6ST,expressionCENPW,0.6414847049634808
expressionIL6ST,expressionCA12,0.6577637450456103
expressionIL6ST,expressionCTPS1,0.6048521152166766
expressionIL6ST,expressionKIAA0232,0.6412249335661456
expressionIL6ST,expressionYBX1,0.6617500405768845
expressionIL6ST,expressionTRIM23,0.710531846609745
expressionIL6ST,expressionSYTL4,0.6513464782418693
expressionIL6ST,expressionAFF1,0.6180938035905861
expressionIL6ST,expressionPJA2,0.6664774014587763
expressionIL6ST,expressionFAM161B,0.6136057549895344
expressionIL6ST,expressionENO1,0.603530383353763
expressionIL6ST,expressionRALGPS2,0.6132770056751036
expressionIL6ST,expressionSPG11,0.6258648435336233
expressionIL6ST,expressionDMXL1,0.6454427679446919
expressionIL6ST,expressionFCHO2,0.6451236458766263
expressionIL6ST,expressionNEK9,0.6035906879363234
expressionIL6ST,expressionTMEM144,0.6326656639241985
expressionIL6ST,expressionKIAA0825,0.6466676651173098
expressionIL6ST,expressionSPEF2,0.6306626962993553
expressionIL6ST,expressionKLHDC1,0.6101819365293365
expressionIL6ST,expressionTBC1D7,0.6033824949141171
expressionIL6ST,expressionCEP120,0.6657383263199171
expressionIL6ST,expressionWDR19,0.6339444210749543
expressionIL6ST,expressionECE2,0.6175510669819722
expressionIL6ST,expressionELOVL5,0.6053029422186761
expressionIL6ST,expressionLINC00504,0.6722909597073841
expressionIL6ST,expressionNT5DC2,0.6748826072778455
expressionIL6ST,expressionYTHDC2,0.625562720024313
expressionIL6ST,expressionZFYVE16,0.6394504581662576
expressionIL6ST,expressionCPEB2,0.6910606713070926
expressionIL6ST,expressionMAPT,0.6250384519302968
expressionIL6ST,expressionMED13L,0.6205744402882929
expressionIL6ST,expressionRANBP1,0.6544279650308976
expressionIL6ST,expressionSREK1,0.6249802014925477
expressionIL6ST,expressionCLSTN2,0.6610525902288156
expressionIL6ST,expressionZNF552,0.6007130328601045
expressionIL6ST,expressionCREBRF,0.6624015687547162
expressionIL6ST,expressionAPH1B,0.6299549671433234
expressionIL6ST,expressionCMYA5,0.6186866359614842
expressionIL6ST,expressionPDSS1,0.6273491501555221
expressionIL6ST,expressionDCTN4,0.6155651521803432
expressionIL6ST,expressionANKRA2,0.6877236541451883
expressionIL6ST,expressionPPP1R14B,0.6396694325716605
expressionIL6ST,expressionADCY9,0.6041046722842909
expressionIL6ST,expressionESR1,0.7173919675004679
expressionIL6ST,expressionRERG,0.6029455819067776
expressionIL6ST,expressionCMC2,0.6197622028836816
expressionIL6ST,expressionSEPSECS,0.6203639336911342
expressionIL6ST,expressionTPRG1,0.6366362476106826
expressionIL6ST,expressionUGCG,0.6347336530555562
expressionIL6ST,expressionCCNE1,0.6368962314299459
expressionIL6ST,expressionMRPS5,0.6436960701199097
expressionIL6ST,expressionRAD17P1,0.6501218170903462
expressionIL6ST,expressionTBC1D9,0.7152585112289069
expressionIL6ST,expressionSMIM14,0.6056815330207127
expressionIL6ST,expressionLRIG1,0.6313281721578442
expressionIL6ST,expressionGFRA1,0.6201240294401289
expressionIL6ST,expressionDHX29,0.6178983839535481
expressionIL6ST,expressionERBB4,0.6468497645913727
expressionIL6ST,expressionSCUBE2,0.7045177114282889
expressionIL6ST,expressionINPP4B,0.7015361866658348
expressionIL6ST,expressionFBXL17,0.6520453675788951
expressionIL6ST,expressionHMGA1,0.6241261685728783
expressionIL6ST,expressionEMC8,0.6328345510528234
expressionIL6ST,expressionJADE2,0.6610769086046581
expressionIL6ST,expressionDNALI1,0.6274133629966498
expressionIL6ST,expressionITPR1,0.6338037357999395
expressionIL6ST,expressionBCL2,0.6536834600924651
expressionIL6ST,expressionACADSB,0.6743014403605574
expressionIL6ST,expressionRAD50,0.6070177843453374
expressionIL6ST,expressionGRPR,0.6036858469365335
expressionIL6ST,expressionAR,0.6293804414891125
expressionIL6ST,expressionAC005355.2,0.6025723188657677
expressionIL6ST,expressionPSAT1,0.6012059766604994
expressionIL6ST,expressionPGR,0.7223610527456206
expressionIL6ST,expressionFNIP1,0.6911165890231846
expressionIL6ST,expressionABAT,0.6319916623587573
expressionIL6ST,expressionGIN1,0.6213401786965349
expressionIL6ST,expressionNUDT12,0.6322216691333402
expressionIL6ST,expressionAPBB2,0.6675556906942096
expressionIL6ST,expressionZNF441,0.6154240150179814
expressionIL6ST,expressionCSNK1G3,0.6301046518465728
expressionIL6ST,expressionFBXO38,0.6104967810421781
expressionIL6ST,expressionRCOR2,0.6314125669989258
expressionIL6ST,expressionPTGER3,0.6114333247394301
expressionIL6ST,expressionTHSD4,0.7080018097764281
expressionIL6ST,expressionFAM13B,0.634503356905157
expressionIL6ST,expressionDNAL1,0.6467580830779189
expressionIL6ST,expressionFAM114A2,0.6644796678644233
expressionIL6ST,expressionAFF4,0.6104891051379658
expressionIL6ST,expressionPOLK,0.6959125623219955
expressionIL6ST,expressionCCDC170,0.7302685999168123
expressionIL6ST,expressionNXNL2,0.6157007866585918
expressionIL6ST,expressionNUTF2,0.6208961350308482
expressionIL6ST,expressionUQCRH,0.644470500621811
expressionIL6ST,expressionMAP3K1,0.6047726243661175
expressionIL6ST,expressionCBX2,0.6189321432389728
expressionIL6ST,expressionRAB30,0.6825034101045933
expressionIL6ST,expressionNBR1,0.6017092923287434
expressionIL6ST,expressionMCM7,0.6016876061549616
expressionIL6ST,expressionMAST4,0.6203409703285365
expressionIL6ST,expressionLNPEP,0.6270349853956804
expressionIL6ST,expressionBYSL,0.6061913227676266
expressionPWWP2A,expressionMIER3,0.6088070239102102
expressionPWWP2A,expressionBDP1,0.6137338533266882
expressionPWWP2A,expressionPGGT1B,0.6324479228369303
expressionPWWP2A,expressionCLINT1,0.6069768551483217
expressionPWWP2A,expressionPPIP5K2,0.6384066250638154
expressionPWWP2A,expressionYTHDC2,0.6265119137272176
expressionPWWP2A,expressionZFYVE16,0.6048408639390996
expressionPWWP2A,expressionSREK1,0.6506745902588217
expressionPWWP2A,expressionDCTN4,0.619916687900156
expressionPWWP2A,expressionRBM27,0.6512461044901987
expressionPWWP2A,expressionC5orf24,0.6129284634615028
expressionPWWP2A,expressionTMEM161B,0.6193922538560375
expressionPWWP2A,expressionFBXO38,0.6140631825934703
expressionPWWP2A,expressionSRFBP1,0.6076820508291775
expressionPWWP2A,expressionAFF4,0.6260837280020584
expressionPWWP2A,expressionSMAD5,0.6239602081830493
expressionTAL1,expressionSHE,0.8012852677435499
expressionTAL1,expressionGPIHBP1,0.730891115912721
expressionTAL1,expressionCD34,0.8112965518373432
expressionTAL1,expressionKLF9,0.6045240245087633
expressionTAL1,expressionLINC01197,0.733961713142161
expressionTAL1,expressionLRRN4CL,0.6614903162627216
expressionTAL1,expressionLTBP4,0.646650107359856
expressionTAL1,expressionAQP7,0.6538640769503017
expressionTAL1,expressionCD300LG,0.6844837262452861
expressionTAL1,expressionOGN,0.6395895593762172
expressionTAL1,expressionCCM2L,0.7033341867722465
expressionTAL1,expressionZEB2,0.6141420868626318
expressionTAL1,expressionDMGDH,0.6204779727882884
expressionTAL1,expressionCPED1,0.6434134765961699
expressionTAL1,expressionIL33,0.6521407502030561
expressionTAL1,expressionPDE7B,0.6547423685913025
expressionTAL1,expressionCD200,0.614882775713445
expressionTAL1,expressionJAM3,0.6379124360262595
expressionTAL1,expressionECM2,0.639553311959861
expressionTAL1,expressionFGF2,0.6059398848977555
expressionTAL1,expressionCPA1,0.6038032281183164
expressionTAL1,expressionC1QTNF7,0.608992367339543
expressionTAL1,expressionSPRY2,0.6271740332202556
expressionTAL1,expressionACACB,0.6577265274257533
expressionTAL1,expressionLPL,0.6669132028739374
expressionTAL1,expressionEMCN,0.8238343515123793
expressionTAL1,expressionTCEAL7,0.6474773705119977
expressionTAL1,expressionAOC3,0.7943711411703995
expressionTAL1,expressionFAT4,0.6714470312663171
expressionTAL1,expressionPDK4,0.6779631172967809
expressionTAL1,expressionSYNE3,0.6899227523136824
expressionTAL1,expressionFHL5,0.6832000855523921
expressionTAL1,expressionGNG2,0.6677218579289699
expressionTAL1,expressionRASIP1,0.6131762855531555
expressionTAL1,expressionCXCL12,0.6249994843195064
expressionTAL1,expressionCDH5,0.8097497283420255
expressionTAL1,expressionFOXO1,0.6372358757510842
expressionTAL1,expressionANGPT4,0.6982269457655683
expressionTAL1,expressionACVRL1,0.7000801331663633
expressionTAL1,expressionCADM3-AS1,0.6307099665529727
expressionTAL1,expressionGIMAP6,0.6608361665519307
expressionTAL1,expressionAFAP1L1,0.7104232642155369
expressionTAL1,expressionALDH1A1,0.6029273768364211
expressionTAL1,expressionHSPA12B,0.7059236962523912
expressionTAL1,expressionAKAP12,0.6791023015450554
expressionTAL1,expressionSRL,0.6754065220096821
expressionTAL1,expressionGIPC2,0.7430509078244335
expressionTAL1,expressionACSM5,0.6049409624798524
expressionTAL1,expressionRAPGEF3,0.6051188182542032
expressionTAL1,expressionCORO2B,0.7194845751798427
expressionTAL1,expressionTPX2,0.6057379309421639
expressionTAL1,expressionARHGEF15,0.8176477136980911
expressionTAL1,expressionBHMT2,0.6455200821536589
expressionTAL1,expressionABCA8,0.7394253961377838
expressionTAL1,expressionANK2,0.6735939592776236
expressionTAL1,expressionPRCD,0.6282929304520504
expressionTAL1,expressionTSPAN7,0.751649143089052
expressionTAL1,expressionNPR1,0.7638303400160664
expressionTAL1,expressionMEOX2,0.7249473240992269
expressionTAL1,expressionACKR1,0.6069993835772688
expressionTAL1,expressionBMP6,0.6170779321582814
expressionTAL1,expressionSORBS1,0.6385926708171422
expressionTAL1,expressionADAMTS9-AS1,0.7062427598361996
expressionTAL1,expressionCCDC3,0.6698938835099492
expressionTAL1,expressionBCL6B,0.6981297816178422
expressionTAL1,expressionKCNIP2,0.6613641879756966
expressionTAL1,expressionTIE1,0.7605369754767084
expressionTAL1,expressionHGF,0.6088243104734767
expressionTAL1,expressionKANK3,0.6901930479815696
expressionTAL1,expressionGPRASP1,0.6719917106672432
expressionTAL1,expressionSCN4A,0.6986789602412249
expressionTAL1,expressionEHD2,0.6376211191428639
expressionTAL1,expressionPROS1,0.6551945960326887
expressionTAL1,expressionTHSD1,0.7669560452529293
expressionTAL1,expressionKIF26A,0.6046870589263125
expressionTAL1,expressionPPP1R12B,0.617307364368421
expressionTAL1,expressionRASL12,0.6016535707610753
expressionTAL1,expressionPDE1B,0.6236958197058854
expressionTAL1,expressionMCTP1,0.6769533016834379
expressionTAL1,expressionPLIN1,0.6604894076710622
expressionTAL1,expressionMYOM1,0.7147048645564634
expressionTAL1,expressionPYGM,0.656188994875301
expressionTAL1,expressionENPP2,0.6843603453722155
expressionTAL1,expressionCYTL1,0.6421803313106932
expressionTAL1,expressionZNF366,0.6063108504437765
expressionTAL1,expressionCYGB,0.6812034372632211
expressionTAL1,expressionCCDC69,0.6634772985552769
expressionTAL1,expressionGPR146,0.7141134535504818
expressionTAL1,expressionPDE1A,0.7153825470974264
expressionTAL1,expressionFHL1,0.7283081009763177
expressionTAL1,expressionNOTCH4,0.7829849990153541
expressionTAL1,expressionKCTD12,0.6539160154886526
expressionTAL1,expressionFXYD1,0.6147739747918257
expressionTAL1,expressionANGPTL1,0.7272440658229696
expressionTAL1,expressionSCN3A,0.6091875720438588
expressionTAL1,expressionMYH11,0.7019087533217567
expressionTAL1,expressionPCSK5,0.6627424378214132
expressionTAL1,expressionFLI1,0.6789444235528568
expressionTAL1,expressionMEOX1,0.6394488763976536
expressionTAL1,expressionTMEM100,0.6514228992109783
expressionTAL1,expressionSLC17A7,0.6323226985742204
expressionTAL1,expressionPLIN4,0.6105112351289869
expressionTAL1,expressionGDF10,0.6340472066802002
expressionTAL1,expressionICAM2,0.6478187490423304
expressionTAL1,expressionRUNDC3B,0.6166590609601242
expressionTAL1,expressionLGI4,0.7276229007519655
expressionTAL1,expressionLRRC70,0.6653236339952671
expressionTAL1,expressionTIMP4,0.6053397066400983
expressionTAL1,expressionABCA6,0.6947274837724172
expressionTAL1,expressionSCARF1,0.6633799215479502
