gene1,gene2,corr
IL6ST,RPIA,0.6015937202672226
IL6ST,FAM214A,0.7096281644499149
IL6ST,RGS22,0.6233357799285509
IL6ST,RABEP1,0.6988426174499534
IL6ST,FBXL5,0.632066525376368
IL6ST,FAM136A,0.6534827950496642
IL6ST,AFF3,0.6318165525293891
IL6ST,CPEB4,0.6195761824207605
IL6ST,NUP93,0.6295963150895434
IL6ST,C5AR2,0.6447370451464945
IL6ST,PSMB2,0.6113193314557728
IL6ST,PGGT1B,0.6585950167211994
IL6ST,CENPW,0.6414847049634808
IL6ST,CA12,0.6577637450456103
IL6ST,CTPS1,0.6048521152166766
IL6ST,KIAA0232,0.6412249335661456
IL6ST,YBX1,0.6617500405768845
IL6ST,TRIM23,0.710531846609745
IL6ST,SYTL4,0.6513464782418693
IL6ST,AFF1,0.6180938035905861
IL6ST,PJA2,0.6664774014587763
IL6ST,FAM161B,0.6136057549895344
IL6ST,ENO1,0.603530383353763
IL6ST,RALGPS2,0.6132770056751036
IL6ST,SPG11,0.6258648435336233
IL6ST,DMXL1,0.6454427679446919
IL6ST,FCHO2,0.6451236458766263
IL6ST,NEK9,0.6035906879363234
IL6ST,TMEM144,0.6326656639241985
IL6ST,KIAA0825,0.6466676651173098
IL6ST,SPEF2,0.6306626962993553
IL6ST,KLHDC1,0.6101819365293365
IL6ST,TBC1D7,0.6033824949141171
IL6ST,CEP120,0.6657383263199171
IL6ST,WDR19,0.6339444210749543
IL6ST,ECE2,0.6175510669819722
IL6ST,ELOVL5,0.6053029422186761
IL6ST,LINC00504,0.6722909597073841
IL6ST,NT5DC2,0.6748826072778455
IL6ST,YTHDC2,0.625562720024313
IL6ST,ZFYVE16,0.6394504581662576
IL6ST,CPEB2,0.6910606713070926
IL6ST,MAPT,0.6250384519302968
IL6ST,MED13L,0.6205744402882929
IL6ST,RANBP1,0.6544279650308976
IL6ST,SREK1,0.6249802014925477
IL6ST,CLSTN2,0.6610525902288156
IL6ST,ZNF552,0.6007130328601045
IL6ST,CREBRF,0.6624015687547162
IL6ST,APH1B,0.6299549671433234
IL6ST,CMYA5,0.6186866359614842
IL6ST,PDSS1,0.6273491501555221
IL6ST,DCTN4,0.6155651521803432
IL6ST,ANKRA2,0.6877236541451883
IL6ST,PPP1R14B,0.6396694325716605
IL6ST,ADCY9,0.6041046722842909
IL6ST,ESR1,0.7173919675004679
IL6ST,RERG,0.6029455819067776
IL6ST,CMC2,0.6197622028836816
IL6ST,SEPSECS,0.6203639336911342
IL6ST,TPRG1,0.6366362476106826
IL6ST,UGCG,0.6347336530555562
IL6ST,CCNE1,0.6368962314299459
IL6ST,MRPS5,0.6436960701199097
IL6ST,RAD17P1,0.6501218170903462
